Responsable traducción,Enlace,Correlativo
Arturo,Home https://laconga.redclara.net/,1
CarlosS,¿Qué queremos? https://laconga.redclara.net/our-goals/,2
DennisC,¿Cómo lo hacemos? https://laconga.redclara.net/about/,3
ErnestoM,¿Quiénes participan? https://laconga.redclara.net/our-partners/,4
Gabriela,Comunidad colaborativa https://laconga.redclara.net/the-team/,5
Harold,Somos Erasmus https://laconga.redclara.net/contact/,6
JavierS,Noticias https://laconga.redclara.net/blog/,7
,Programa académico (no usada) https://laconga.redclara.net/el-programa-academico-la-congaphysics/,8
,The Structure (no usada) http://laconga.redclara.net/the-structure/,9
Johany,Andrea grijalva http://laconga.redclara.net/andrea-grijalva,10
Jorge,Arely Cortés http://laconga.redclara.net/arely-cortes-gonzalez,11
JoseAL,Arturo Sánchez http://laconga.redclara.net/arturo-sanchez-pineda/,12
JoseO,Camila Rangel http://laconga.redclara.net/camila-rangel-smith/,13
JuanC,Carlos Sandoval http://laconga.redclara.net/carlos-sandoval,14
LuisN,Dennis Cazar http://laconga.redclara.net/dennis-cazar/,15
Pierre,Diego Milanés https://laconga.redclara.net/diego-milanes/,16
ReinaC,Edgar Carrera http://laconga.redclara.net/edgar-carrera/,17
Teofilo,Ernesto Medina http://laconga.redclara.net/ernesto-medina/,18
Arturo,Gabriela Navarro http://laconga.redclara.net/gabriela-navarro/,19
CarlosS,Harold Yepes http://laconga.redclara.net/harold-yepes-ramirez/,20
DennisC,James Ferrando http://laconga.redclara.net/james-ferrando/,21
ErnestoM,Javier Solano http://laconga.redclara.net/javier-solano/,22
Gabriela,Joany Manjarrés http://laconga.redclara.net/joany-manjarres/,23
Harold,Jorge Stephany http://laconga.redclara.net/jorge-stephany/,24
JavierS,José A López http://laconga.redclara.net/jose-antonio-lopez/,25
Johany,José Ocariz http://laconga.redclara.net/jose-ocariz/,26
Jorge,Juan C Basto https://laconga.redclara.net/juan-carlos-basto-pineda/,27
JoseAL,Luis A. Núñez http://laconga.redclara.net/luis-a-nunez/,28
JoseO,Marco Bomben http://laconga.redclara.net/marcobomben/,29
JuanC,Mario Cosenza https://laconga.redclara.net/mario-cosenza/,30
LuisN,Pierre Pujol http://laconga.redclara.net/pierre-pujol/,31
Pierre,Reina Camacho http://laconga.redclara.net/reina-camacho-toro,32
ReinaC,Sergio Díez http://laconga.redclara.net/sergio-diez-cornell,33
Teofilo,Teófilo Vargas http://laconga.redclara.net/teofilo-vargas-auccalla/,34
Arturo,¡Iniciamos con la primera cohorte! https://laconga.redclara.net/iniciamos-con-la-primera-cohorte/,35
CarlosS,Iniciamos los cursos el 18 de enero https://laconga.redclara.net/iniciamos-los-cursos-el-18-de-enero/,36
DennisC,Entre la academia y la industria: hablemos de desarrollo profesional https://laconga.redclara.net/entre-la-academia-y-la-industria-hablemos-de-desarrollo-profesional/,37
ErnestoM,De la teoría a la medición: hablemos de instrumentación científica https://laconga.redclara.net/de-la-teoria-a-la-medicion-hablemos-de-instrumentacion-cientifica/,38
Gabriela,De los datos al conocimiento: la cuarta cita de #HablemosLACoNGA https://laconga.redclara.net/de-los-datos-al-conocimiento-la-cuarta-cita-de-hablemoslaconga/,39
Harold,La cita es con Física de Altas Energías https://laconga.redclara.net/la-cita-es-con-fisica-de-altas-energias/,40
JavierS,Este viernes hablaremos de sistemas complejos https://laconga.redclara.net/este-viernes-hablaremos-de-sistemas-complejos/,41
Johany,Hablemos sobre la Alianza en Física Avanzada https://laconga.redclara.net/hablemos-sobre-la-alianza-en-fisica-avanzada/,42
Jorge,Una alianza que empieza a sonar bien: entérate por qué https://laconga.redclara.net/una-alianza-que-empieza-a-sonar-bien-enterate-por-que/,43
JoseAL,…,44
JoseO,…,45
JuanC,…,46
LuisN,…,47
Pierre,…,48
ReinaC,…,49
Teofilo,…,50
